"RelPath","Outer","Inner","OuterLen","InnerLen","OuterWrite","InnerWrite"
"backend\__pycache__\__init__.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\__pycache__\__init__.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\__pycache__\__init__.cpython-313.pyc","148","167","12-03-2026 20:06:38","16-03-2026 9:25:38"
"backend\apps\__pycache__\__init__.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\__pycache__\__init__.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\__pycache__\__init__.cpython-313.pyc","153","172","12-03-2026 20:06:38","16-03-2026 9:25:38"
"backend\apps\academico\__pycache__\__init__.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\academico\__pycache__\__init__.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\academico\__pycache__\__init__.cpython-313.pyc","534","553","12-03-2026 20:07:01","16-03-2026 9:29:44"
"backend\apps\academico\__pycache__\apps.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\academico\__pycache__\apps.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\academico\__pycache__\apps.cpython-313.pyc","546","565","12-03-2026 20:07:01","16-03-2026 9:29:44"
"backend\apps\academico\__pycache__\models.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\academico\__pycache__\models.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\academico\__pycache__\models.cpython-313.pyc","35589","35608","16-03-2026 9:20:57","16-03-2026 9:29:44"
"backend\apps\academico\migrations\__pycache__\__init__.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\academico\migrations\__pycache__\__init__.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\academico\migrations\__pycache__\__init__.cpython-313.pyc","174","193","12-03-2026 20:07:11","16-03-2026 9:29:45"
"backend\apps\academico\migrations\__pycache__\0001_initial.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\academico\migrations\__pycache__\0001_initial.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\academico\migrations\__pycache__\0001_initial.cpython-313.pyc","10468","10487","12-03-2026 20:07:11","16-03-2026 9:29:45"
"backend\apps\academico\migrations\__pycache__\0002_initial.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\academico\migrations\__pycache__\0002_initial.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\academico\migrations\__pycache__\0002_initial.cpython-313.pyc","10377","10396","12-03-2026 20:07:11","16-03-2026 9:29:45"
"backend\apps\academico\migrations\__pycache__\0003_remove_planificacion_anio_escolar_and_more.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\academico\migrations\__pycache__\0003_remove_planificacion_anio_escolar_and_more.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\academico\migrations\__pycache__\0003_remove_planificacion_anio_escolar_and_more.cpython-313.pyc","1238","1257","12-03-2026 20:07:11","16-03-2026 9:29:45"
"backend\apps\academico\migrations\__pycache__\0004_planificacion_aprobado_por_planificacion_enviada_por_and_more.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\academico\migrations\__pycache__\0004_planificacion_aprobado_por_planificacion_enviada_por_and_more.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\academico\migrations\__pycache__\0004_planificacion_aprobado_por_planificacion_enviada_por_and_more.cpython-313.pyc","2671","2690","12-03-2026 20:07:11","16-03-2026 9:29:45"
"backend\apps\academico\migrations\__pycache__\0005_registroclase_firmaregistroclase.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\academico\migrations\__pycache__\0005_registroclase_firmaregistroclase.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\academico\migrations\__pycache__\0005_registroclase_firmaregistroclase.cpython-313.pyc","4425","4444","16-03-2026 9:29:09","16-03-2026 9:29:45"
"backend\apps\academico\services\__init__.py","C:\Proyectos\Aplicacion_Colegio\backend\apps\academico\services\__init__.py","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\academico\services\__init__.py","619","427","16-03-2026 3:21:46","16-03-2026 2:44:45"
"backend\apps\academico\services\__pycache__\__init__.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\academico\services\__pycache__\__init__.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\academico\services\__pycache__\__init__.cpython-313.pyc","699","556","16-03-2026 9:29:07","16-03-2026 9:30:01"
"backend\apps\academico\services\__pycache__\academic_reports_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\academico\services\__pycache__\academic_reports_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\academico\services\__pycache__\academic_reports_service.cpython-313.pyc","30785","30874","16-03-2026 2:48:04","16-03-2026 9:30:02"
"backend\apps\academico\services\__pycache__\asistencia_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\academico\services\__pycache__\asistencia_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\academico\services\__pycache__\asistencia_service.cpython-313.pyc","1760","1779","12-03-2026 20:35:13","16-03-2026 9:30:01"
"backend\apps\academico\services\__pycache__\attendance_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\academico\services\__pycache__\attendance_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\academico\services\__pycache__\attendance_service.cpython-313.pyc","32168","32187","12-03-2026 20:35:13","16-03-2026 9:30:01"
"backend\apps\academico\services\__pycache__\calificaciones_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\academico\services\__pycache__\calificaciones_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\academico\services\__pycache__\calificaciones_service.cpython-313.pyc","1782","1801","12-03-2026 20:35:13","16-03-2026 9:30:01"
"backend\apps\academico\services\__pycache__\grades_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\academico\services\__pycache__\grades_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\academico\services\__pycache__\grades_service.cpython-313.pyc","42427","42446","12-03-2026 20:35:13","16-03-2026 9:30:01"
"backend\apps\academico\services\__pycache__\material_clase_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\academico\services\__pycache__\material_clase_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\academico\services\__pycache__\material_clase_service.cpython-313.pyc","3398","3417","12-03-2026 20:35:13","16-03-2026 9:30:01"
"backend\apps\academico\services\__pycache__\tarea_entrega_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\academico\services\__pycache__\tarea_entrega_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\academico\services\__pycache__\tarea_entrega_service.cpython-313.pyc","1513","1532","12-03-2026 20:35:13","16-03-2026 9:30:01"
"backend\apps\academico\services\academic_reports_service.py","C:\Proyectos\Aplicacion_Colegio\backend\apps\academico\services\academic_reports_service.py","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\academico\services\academic_reports_service.py","33863","34184","16-03-2026 2:44:46","16-03-2026 2:44:45"
"backend\apps\academico\services\academic_view_service.py","C:\Proyectos\Aplicacion_Colegio\backend\apps\academico\services\academic_view_service.py","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\academico\services\academic_view_service.py","23282","23535","16-03-2026 2:44:46","16-03-2026 2:44:45"
"backend\apps\academico\views\academic_report_views.py","C:\Proyectos\Aplicacion_Colegio\backend\apps\academico\views\academic_report_views.py","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\academico\views\academic_report_views.py","5060","8313","12-03-2026 19:41:54","16-03-2026 2:44:45"
"backend\apps\accounts\__pycache__\__init__.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\accounts\__pycache__\__init__.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\accounts\__pycache__\__init__.cpython-313.pyc","162","181","12-03-2026 20:07:01","16-03-2026 9:29:43"
"backend\apps\accounts\__pycache__\apps.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\accounts\__pycache__\apps.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\accounts\__pycache__\apps.cpython-313.pyc","543","562","12-03-2026 20:07:01","16-03-2026 9:29:43"
"backend\apps\accounts\__pycache__\forms.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\accounts\__pycache__\forms.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\accounts\__pycache__\forms.cpython-313.pyc","5260","5279","12-03-2026 20:35:14","16-03-2026 9:30:02"
"backend\apps\accounts\__pycache__\models.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\accounts\__pycache__\models.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\accounts\__pycache__\models.cpython-313.pyc","43237","43256","12-03-2026 20:07:01","16-03-2026 9:29:44"
